zip_code,city,borough
11004,Glen Oaks,Queens
11005,Floral Park,Queens
11101,Long Island City,Queens
11102,Astoria,Queens
11103,Astoria,Queens
11104,Sunnyside,Queens
11105,Astoria,Queens
11106,Astoria,Queens
11109,Long Island City,Queens
11120,Long Island City,Queens
11351,Flushing,Queens
11352,Flushing,Queens
11354,Flushing,Queens
11355,Flushing,Queens
11356,College Point,Queens
11357,Whitestone,Queens
11358,Flushing,Queens
11359,Bayside,Queens
11360,Bayside,Queens
11361,Bayside,Queens
11362,Little Neck,Queens
11363,Little Neck,Queens
11364,Oakland Gardens,Queens
11365,Fresh Meadows,Queens
11366,Fresh Meadows,Queens
11367,Flushing,Queens
11368,Corona,Queens
11369,East Elmhurst,Queens
11370,East Elmhurst,Queens
11371,Flushing,Queens
11372,Jackson Heights,Queens
11373,Elmhurst,Queens
11374,Rego Park,Queens
11375,Forest Hills,Queens
11377,Woodside,Queens
11378,Maspeth,Queens
11379,Middle Village,Queens
11380,Elmhurst,Queens
11381,Flushing,Queens
11385,Ridgewood,Queens
11386,Ridgewood,Queens
11405,Jamaica,Queens
11411,Cambria Heights,Queens
11412,Saint Albans,Queens
11413,Springfield Gardens,Queens
11414,Howard Beach,Queens
11415,Kew Gardens,Queens
11416,Ozone Park,Queens
11417,Ozone Park,Queens
11418,Richmond Hill,Queens
11419,South Richmond Hill,Queens
11420,South Ozone Park,Queens
11421,Woodhaven,Queens
11422,Rosedale,Queens
11423,Hollis,Queens
11424,Jamaica,Queens
11425,Jamaica,Queens
11426,Bellerose,Queens
11427,Queens Village,Queens
11428,Queens Village,Queens
11429,Queens Village,Queens
11430,Jamaica,Queens
11431,Jamaica,Queens
11432,Jamaica,Queens
11433,Jamaica,Queens
11434,Jamaica,Queens
11435,Jamaica,Queens
11436,Jamaica,Queens
11437,Jamaica,Queens
11439,Jamaica,Queens
11451,Jamaica,Queens
11499,Jamaica,Queens
11690,Far Rockaway,Queens
11691,Far Rockaway,Queens
11692,Arverne,Queens
11693,Far Rockaway,Queens
11694,Rockaway Park,Queens
11695,Far Rockaway,Queens
11697,Breezy Point,Queens
